2, Podd, 328, 50168, 50264, 0, 0, 58296, 56168, 56260, 0, 0, 50360, 53088, 0, 0, 1880, 29864, 35304, 30072, 30716, 30964, 30468, 31212, 31460, 32572, 32820, 33068, 32072, 32324, 34884, 34140, 0, 2180, 3972, 5148, 2576, 6324, 7020, 16220, 16980, 17740, 15112, 15684, 29364, 28540, 0, 35600, 0, 0, 35916, 37196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492, 960, 1344, 55816, 55904, 56348, 57360, 56488, 57500, 1840, 55992, 56080, 58392, -1, AltN, 35764, 35768, 0, HEnd
4, Podd, 328, 45656, 45752, 0, 0, 53784, 51656, 51748, 0, 0, 45848, 48576, 0, 0, 1880, 25096, 28896, 25304, 25876, 26412, 26164, 0, 0, 0, 0, 0, 0, 0, 28476, 27732, 0, 2180, 8836, 11036, 10156, 0, 0, 0, 0, 0, 0, 0, 24596, 23772, 0, 29100, 0, 29412, 42500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492, 960, 1344, 51304, 51392, 51836, 52848, 51976, 52988, 1840, 51480, 51568, 53880, -1, AltN, 29264, 29268, 0, HEnd
6, Podd, 336, 34832, 34928, 0, 0, 42960, 40832, 40924, 0, 0, 35024, 37752, 0, 0, 1888, 16152, 17704, 16356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16636, 17116, 0, 2184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14924, 15484, 0, 18000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 40480, 40568, 41012, 42024, 41152, 42164, 1848, 40656, 40744, 43056, -1, AltN, 2356, 16528, 18164, 18168, 0, HEnd
8, Podd, 336, 38192, 38288, 0, 0, 46320, 44192, 44284, 0, 0, 38384, 41112, 0, 0, 1888, 15560, 18968, 15764, 0, 16084, 16304, 0, 0, 0, 0, 0, 0, 0, 18580, 16492, 0, 2184, 0, 6460, 7720, 0, 0, 0, 0, 0, 0, 0, 15092, 12924, 0, 19172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 43840, 43928, 44372, 45384, 44512, 45524, 1848, 44016, 44104, 46416, -1, AltN, 2356, 15936, 19336, 19340, 0, HEnd
9, Podd, 348, 38456, 38552, 0, 0, 46584, 44456, 44548, 0, 0, 38648, 41376, 0, 0, 1896, 18480, 21112, 18684, 0, 19004, 0, 19188, 0, 0, 0, 0, 0, 0, 19372, 20084, 0, 2192, 0, 9076, 0, 10028, 0, 0, 0, 0, 0, 0, 16580, 17372, 0, 21316, 0, 0, 0, 0, 0, 32948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 512, 976, 1360, 44104, 44192, 44636, 45648, 44776, 45788, 1856, 44280, 44368, 46680, -1, Anim, 0, 0, AltN, 2364, 18856, 21480, 21484, 0, HEnd
12, Podd, 408, 38624, 38720, 0, 0, 46752, 44624, 44716, 0, 0, 38816, 41544, 0, 0, 1960, 17376, 20096, 17548, 0, 0, 0, 17872, 18060, 18244, 18472, 18844, 18660, 0, 19708, 19028, 0, 2224, 0, 0, 0, 2548, 3420, 4020, 9856, 13060, 10268, 0, 16908, 16148, 0, 20300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 572, 1040, 1424, 44272, 44360, 44804, 45816, 44944, 45956, 1920, 44448, 44536, 46848, -1, Anim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, AltN, 2396, 17720, 20464, 20468, 0, HEnd
14, Podd, 336, 35616, 35712, 0, 0, 43744, 41616, 41708, 0, 0, 35808, 38536, 0, 0, 1888, 21296, 23568, 21468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22948, 21828, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20596, 19396, 0, 23864, 0, 0, 0, 0, 0, 0, 30156, 29124, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 41264, 41352, 41796, 42808, 41936, 42948, 1848, 41440, 41528, 43840, -1, AltN, 2324, 21640, 24028, 24032, 0, HEnd
16, Podd, 336, 38120, 38216, 0, 0, 46248, 44120, 44212, 0, 0, 38312, 41040, 0, 0, 1888, 19624, 21384, 19796, 0, 20112, 0, 0, 0, 0, 0, 0, 0, 0, 20300, 20780, 0, 2152, 0, 2468, 0, 0, 0, 0, 0, 0, 0, 0, 18380, 18940, 0, 21588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 43768, 43856, 44300, 45312, 44440, 45452, 1848, 43944, 44032, 46344, -1, AltN, 2324, 19968, 21752, 21756, 0, HEnd
17, Podd, 336, 34024, 34120, 0, 0, 42152, 40024, 40116, 0, 0, 34216, 36944, 0, 0, 1888, 14160, 15680, 14332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14612, 15092, 0, 2152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12932, 13492, 0, 15884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 39672, 39760, 40204, 41216, 40344, 41356, 1848, 39848, 39936, 42248, -1, AltN, 2324, 14504, 16048, 16052, 0, HEnd
20, Podd, 336, 29920, 30016, 0, 0, 38048, 35920, 36012, 0, 0, 30112, 32840, 0, 0, 1888, 13864, 15416, 14068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15028, 14348, 0, 2184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13396, 12636, 0, 15620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 35568, 35656, 36100, 37112, 36240, 37252, 1848, 35744, 35832, 38144, -1, AltN, 2356, 14240, 15784, 15788, 0, HEnd
22, Podd, 336, 35872, 35968, 0, 0, 44000, 41872, 41964, 0, 0, 36064, 38792, 0, 0, 1888, 14032, 15584, 14236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15196, 14516, 0, 2184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13564, 12804, 0, 15788, 0, 0, 0, 0, 0, 27804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 41520, 41608, 42052, 43064, 42192, 43204, 1848, 41696, 41784, 44096, -1, AltN, 2356, 14408, 15952, 15956, 0, HEnd
24, Podd, 336, 38180, 38272, 0, 0, 46304, 44176, 44268, 0, 0, 38368, 41096, 0, 0, 1888, 15976, 18192, 16180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16460, 16940, 0, 2184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14084, 14644, 0, 18400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 968, 1352, 43824, 43912, 44356, 45368, 44496, 45508, 1848, 44000, 44088, 46400, -1, AltN, 2356, 16352, 18564, 18568, 0, HEnd
