0, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13452, 15668, 0, 0, 464, 644, 1004, 824, 0, 0, 0, 0, 0, 17432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 328, 1092, 0, HEnd
3, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13188, 0, 0, 824, 1004, 464, 644, 0, 0, 0, 0, 0, 0, 15824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 328, 1092, 0, HEnd
5, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14380, 14196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13748, 13268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14968, 0, 14608, 14788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 14064, 14472, 15236, 0, HEnd
7, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10348, 11188, 11884, 12572, 13260, 13948, 9568, 9748, 9928, 10108, 0, 0, 0, 29200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 9208, 9432, 10196, 0, HEnd
10, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900, 0, 10084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8156, 0, 9220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27596, 10312, 10492, 10672, 10852, 0, 0, 0, 0, 0, 0, 0, 0, 28496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 9768, 10176, 10940, 0, HEnd
11, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10876, 11060, 11244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9324, 9884, 10420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11472, 11652, 11832, 12012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 10736, 11336, 12100, 0, HEnd
13, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13128, 13308, 13488, 13668, 23748, 25100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 336, 12992, 13756, 0, HEnd
15, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9672, 9852, 10032, 10212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 9312, 9536, 10300, 0, HEnd
18, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13928, 0, 14116, 14300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472, 0, 12996, 13476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14528, 14708, 14888, 15068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 13792, 14392, 15156, 0, HEnd
19, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10296, 10836, 10656, 10476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 336, 10160, 10924, 0, HEnd
21, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11684, 11868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9652, 10716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12456, 12636, 12096, 12276, 23732, 0, 0, 0, 0, 0, 0, 0, 0, 24304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 11552, 11960, 12724, 0, HEnd
23, MAlt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10692, 10872, 11052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, AltN, 336, 336, 10376, 11140, 0, HEnd
